Name,Tooth ID,Day 0,Day 30,Day 60,Rostral_0,Buccal_0,Distal_0,Palatal_0,Gingival Recession_0,Bleeding Assessment_0,Aver_Day0,Rostral_30,Buccal_30,Distal_30,Palatal_30,Gingival Recession_30,Bleeding Assessment_30,Aver_Day30,Rostral_60,Buccal_60,Distal_60,Palatal_60,Gingival Recession_60,Bleeding Assessment_60,Aver_Day60
Simba,105,0,30,60,3,1,2,2,0,2,2,2,1,1,2,0,2,1.5,1,1,2,1,0,2,1.25
Simba,104,0,30,60,4,2,4,5,0,2,3.75,4,1,4,3,0,2,3,3,1,3,4,0,2,2.75
Simba,103,0,30,60,3,2,3,1,0,2,2.25,3,1,1,1,0,2,1.5,1,1,1,1,0,2,1
Simba,102,0,30,60,3,1,3,2,0,2,2.25,2,1,3,1,0,2,1.75,1,1,1,2,0,2,1.25
Simba,101,0,30,60,3,1,3,3,0,2,2.5,3,1,2,3,0,2,2.25,2,1,2,3,0,2,2
Simba,201,0,30,60,2,1,2,2,0,2,1.75,2,1,1,1,0,2,1.25,2,1,1,1,0,2,1.25
Simba,202,0,30,60,2,1,2,2,0,2,1.75,1,1,2,2,0,2,1.5,1,1,1,2,0,2,1.25
Simba,203,0,30,60,3,2,1,1,0,2,1.75,2,1,1,1,0,2,1.25,2,1,1,1,0,2,1.25
Simba,204,0,30,60,4,3,4,4,0,2,3.75,4,2,3,3,0,2,3,4,2,3,3,0,2,3
Simba,205,0,30,60,4,1,5,4,0,2,3.5,3,1,4,3,0,2,2.75,2,1,4,3,0,2,2.5
Simba,206,0,30,60,4,1,3,3,1,2,2.75,4,1,3,2,0,2,2.5,4,1,2,2,0,2,2.25
Simba,207,0,30,60,3,3,4,4,1,2,3.5,2,2,4,4,1,2,3,2,2,4,4,0,2,3
Simba,208,0,30,60,4,2,3,4,0,2,3.25,3,2,2,4,1,2,2.75,3,2,2,4,0,2,2.75
Simba,209,0,30,60,3,4,5,4,0,2,4,2,4,4,3,1,2,3.25,2,4,4,3,0,2,3.25
Simba,210,0,30,60,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2
Simba,411,0,30,60,2,2,2,1,0,2,1.75,2,2,2,1,0,2,1.75,2,2,2,1,0,1,1.75
Simba,410,0,30,60,,,,,,,0,,,,,,,0,,,,,,,0
Simba,409,0,30,60,2,2,2,2,0,2,2,1,2,2,1,1,2,1.5,1,2,2,1,0,2,1.5
Simba,408,0,30,60,3,1,3,4,0,2,2.75,1,1,3,4,0,2,2.25,2,1,3,3,0,2,2.25
Simba,407,0,30,60,2,1,2,1,0,2,1.5,1,1,2,1,0,2,1.25,1,1,2,1,0,2,1.25
Simba,406,0,30,60,2,1,2,1,0,2,1.5,1,1,2,1,0,2,1.25,1,1,2,1,0,2,1.25
Simba,405,0,30,60,3,1,1,2,0,2,1.75,3,1,1,1,0,2,1.5,3,1,1,1,0,2,1.5
Simba,404,0,30,60,3,3,4,3,0,2,3.25,2,2,4,3,0,2,2.75,2,1,2,3,0,2,2
Simba,403,0,30,60,2,1,3,4,0,2,2.5,1,1,3,2,0,2,1.75,1,1,2,2,0,2,1.5
Simba,402,0,30,60,4,1,3,3,0,2,2.75,2,1,3,2,0,2,2,2,1,2,1,0,2,1.5
Simba,401,0,30,60,3,1,3,1,0,2,2,3,1,2,1,0,2,1.75,3,1,1,1,0,2,1.5
Simba,301,0,30,60,3,1,2,2,0,2,2,3,1,2,2,0,2,2,2,1,2,2,0,2,1.75
Simba,302,0,30,60,3,1,3,2,0,2,2.25,1,1,3,2,0,0,1.75,1,1,2,2,0,2,1.5
Simba,303,0,30,60,3,1,3,4,0,2,2.75,2,1,3,3,0,2,2.25,1,1,2,3,0,2,1.75
Simba,304,0,30,60,5,4,4,5,0,2,4.5,4,2,2,3,0,2,2.75,4,2,2,3,0,2,2.75
Simba,305,0,30,60,2,2,3,2,0,2,2.25,1,1,3,2,0,1,1.75,1,1,2,2,0,2,1.5
Simba,306,0,30,60,3,1,5,4,0,2,3.25,3,1,4,4,0,2,3,2,1,4,4,0,2,2.75
Simba,307,0,30,60,5,1,4,3,0,2,3.25,5,1,3,1,0,2,2.5,4,1,2,2,0,2,2.25
Simba,308,0,30,60,4,1,3,3,0,2,2.75,3,1,3,3,0,2,2.5,3,1,3,3,0,2,2.5
Simba,309,0,30,60,2,1,3,3,0,2,2.25,1,1,3,2,0,2,1.75,1,1,3,2,0,2,1.75
Simba,310,0,30,60,4,3,5,3,0,2,3.75,3,3,4,3,0,2,3.25,3,3,4,3,0,2,3.25
Simba,311,0,30,60,,,,,,,0,,,,,,,0,,,,,,,0
Gunner,110,0,30,60,1,1,1,1,0,0,1,1,1,1,1,0,2,1,1,1,1,1,0,2,1
Gunner,109,0,30,60,2,2,2,3,0,2,2.25,3,3,2,2,1,2,2.5,3,3,3,4,0,2,3.25
Gunner,108,0,30,60,3,2,2,2,0,2,2.25,3,3,3,3,0,2,3,3,3,2,3,0,2,2.75
Gunner,107,0,30,60,3,2,2,2,0,2,2.25,3,3,3,3,0,2,3,3,3,2,3,0,2,2.75
Gunner,106,0,30,60,3,2,2,2,0,2,2.25,3,3,3,3,0,2,3,3,3,2,3,0,2,2.75
Gunner,105,0,30,60,3,1,1,3,0,2,2,3,2,2,3,0,2,2.5,3,1,3,4,0,2,2.75
Gunner,104,0,30,60,4,1,2,1,0,2,2,4,1,2,1,0,2,2,4,1,2,1,0,2,2
Gunner,103,0,30,60,3,2,1,2,0,2,2,3,2,1,2,0,2,2,2,1,1,2,0,2,1.5
Gunner,102,0,30,60,1,1,4,2,0,2,2,1,1,3,1,0,2,1.5,1,1,2,1,0,2,1.25
Gunner,101,0,30,60,1,1,3,2,0,2,1.75,1,1,2,2,0,2,1.5,1,1,2,2,0,2,1.5
