Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
BRUNO,209,0,1,3,2,1,0,2
BRUNO,209,30,3,3,2,1,0,2
BRUNO,209,60,3,3,2,2,0,2
BRUNO,210,0,1,1,1,1,0,2
BRUNO,210,30,3,2,2,1,0,0
BRUNO,210,60,3,2,2,3,0,0
BRUNO,411,0,1,1,1,1,0,0
BRUNO,411,30,1,1,2,2,0,0
BRUNO,411,60,2,2,2,2,0,0
BRUNO,410,0,2,2,2,1,0,2
BRUNO,410,30,2,3,2,1,0,2
BRUNO,410,60,2,3,2,2,0,0
BRUNO,409,0,2,1,2,1,0,2
BRUNO,409,30,2,2,2,1,0,2
BRUNO,409,60,3,2,3,1,0,2
BRUNO,408,0,1,1,2,2,0,2
BRUNO,408,30,1,1,2,3,0,2
BRUNO,408,60,1,2,3,3,0,2
BRUNO,407,0,1,1,2,1,0,2
BRUNO,407,30,3,1,3,1,0,2
BRUNO,407,60,3,1,3,3,0,2
BRUNO,406,0,1,1,2,1,0,2
BRUNO,406,30,1,1,2,2,0,2
BRUNO,406,60,1,1,2,3,0,2
BRUNO,405,0,1,1,1,1,0,1
BRUNO,405,30,1,1,1,1,0,2
BRUNO,405,60,1,2,1,1,0,2
BRUNO,404,0,1,1,1,1,0,2
BRUNO,404,30,3,2,3,2,0,2
BRUNO,404,60,4,3,4,3,0,2
BRUNO,403,0,1,1,3,2,0,2
BRUNO,403,30,3,1,3,3,0,2
BRUNO,403,60,3,1,3,3,0,2
BRUNO,402,0,3,1,1,1,0,2
BRUNO,402,30,4,1,3,2,0,2
BRUNO,402,60,4,1,3,2,0,2
BRUNO,401,0,3,1,1,3,0,2
BRUNO,401,30,3,1,2,3,0,2
BRUNO,401,60,3,1,3,3,0,2
BRUNO,301,0,1,1,1,2,0,0
BRUNO,301,30,1,1,3,3,0,0
BRUNO,301,60,1,1,3,3,0,0
BRUNO,302,0,1,1,1,1,0,2
BRUNO,302,30,3,1,3,1,0,0
BRUNO,302,60,3,1,4,1,0,0
BRUNO,303,0,1,1,2,1,0,2
BRUNO,303,30,3,1,3,4,0,2
BRUNO,303,60,3,1,4,4,0,0
BRUNO,304,0,3,1,3,2,0,2
BRUNO,304,30,4,3,4,2,0,2
BRUNO,304,60,4,4,4,2,0,2
BRUNO,305,0,2,1,1,1,0,2
BRUNO,305,30,3,2,1,1,0,2
BRUNO,305,60,3,2,1,1,0,2
BRUNO,306,0,1,1,1,2,0,2
BRUNO,306,30,1,1,1,2,0,2
BRUNO,306,60,2,1,2,3,0,2
BRUNO,307,0,1,1,1,1,0,2
BRUNO,307,30,1,1,2,1,0,2
BRUNO,307,60,2,1,3,2,0,2
BRUNO,308,0,1,1,4,4,0,2
BRUNO,308,30,1,1,4,4,0,2
BRUNO,308,60,1,1,4,4,0,2
BRUNO,309,0,1,1,2,1,0,2
BRUNO,309,30,2,1,2,1,0,2
BRUNO,309,60,3,1,4,1,0,2
BRUNO,310,0,1,1,1,1,0,2
BRUNO,310,30,1,2,1,1,0,2
BRUNO,310,60,1,2,1,1,0,2
BRUNO,311,0,1,1,1,1,0,0
BRUNO,311,30,1,1,1,1,0,0
BRUNO,311,60,1,1,1,1,0,0
