Subject Name,Tooth ID,Day,Rostral ,Buccal ,Distal,Palatal,Gingivial Recession,Bleeding Assessment
Simba,108,0,3,4,3,4,1,2
Simba,108,30,2,3,3,4,1,2
Simba,108,60,2,3,3,4,0,2
Simba,107,0,2,1,1,3,1,2
Simba,107,30,1,1,1,3,0,2
Simba,107,60,1,1,1,3,0,2
Simba,106,0,,,,,,
Simba,106,30,,,,,,
Simba,106,60,,,,,,
Simba,105,0,3,1,2,2,0,2
Simba,105,30,2,1,1,2,0,2
Simba,105,60,1,1,2,1,0,2
Simba,104,0,4,2,4,5,0,2
Simba,104,30,4,1,4,3,0,2
Simba,104,60,3,1,3,4,0,2
Simba,103,0,3,2,3,1,0,2
Simba,103,30,3,1,1,1,0,2
Simba,103,60,1,1,1,1,0,2
Simba,102,0,3,1,3,2,0,2
Simba,102,30,2,1,3,1,0,2
Simba,102,60,1,1,1,2,0,2
Simba,101,0,3,1,3,3,0,2
Simba,101,30,3,1,2,3,0,2
Simba,101,60,2,1,2,3,0,2
Simba,201,0,2,1,2,2,0,2
Simba,201,30,2,1,1,1,0,2
Simba,201,60,2,1,1,1,0,2
Simba,202,0,2,1,2,2,0,2
Simba,202,30,1,1,2,2,0,2
Simba,202,60,1,1,1,2,0,2
Simba,203,0,3,2,1,1,0,2
Simba,203,30,2,1,1,1,0,2
Simba,203,60,2,1,1,1,0,2
Simba,204,0,4,3,4,4,0,2
Simba,204,30,4,2,3,3,0,2
Simba,204,60,4,2,3,3,0,2
Simba,205,0,4,1,5,4,0,2
Simba,205,30,3,1,4,3,0,2
Simba,205,60,2,1,4,3,0,2
Simba,206,0,4,1,3,3,1,2
Simba,206,30,4,1,3,2,0,2
Simba,206,60,4,1,2,2,0,2
Simba,207,0,3,3,4,4,1,2
Simba,207,30,2,2,4,4,1,2
Simba,207,60,2,2,4,4,0,2
Simba,208,0,4,2,3,4,0,2
Simba,208,30,3,2,2,4,1,2
Simba,208,60,3,2,2,4,0,2
Simba,209,0,3,4,5,4,0,2
Simba,209,30,2,4,4,3,1,2
Simba,209,60,2,4,4,3,0,2
Simba,210,0,2,2,2,2,0,2
Simba,210,30,2,2,2,2,0,2
Simba,210,60,2,2,2,2,0,2
Simba,411,0,2,2,2,1,0,2
Simba,411,30,2,2,2,1,0,2
Simba,411,60,2,2,2,1,0,1
Simba,410,0,,,,,,
Simba,410,30,,,,,,
Simba,410,60,,,,,,
Simba,409,0,2,2,2,2,0,2
Simba,409,30,1,2,2,1,1,2
Simba,409,60,1,2,2,1,0,2
Simba,408,0,3,1,3,4,0,2
Simba,408,30,1,1,3,4,0,2
Simba,408,60,2,1,3,3,0,2
Simba,407,0,2,1,2,1,0,2
Simba,407,30,1,1,2,1,0,2
Simba,407,60,1,1,2,1,0,2
Simba,406,0,2,1,2,1,0,2
Simba,406,30,1,1,2,1,0,2
Simba,406,60,1,1,2,1,0,2
Simba,405,0,3,1,1,2,0,2
Simba,405,30,3,1,1,1,0,2
Simba,405,60,3,1,1,1,0,2
Simba,404,0,3,3,4,3,0,2
Simba,404,30,2,2,4,3,0,2
Simba,404,60,2,1,2,3,0,2
Simba,403,0,2,1,3,4,0,2
Simba,403,30,1,1,3,2,0,2
Simba,403,60,1,1,2,2,0,2
Simba,402,0,4,1,3,3,0,2
Simba,402,30,2,1,3,2,0,2
Simba,402,60,2,1,2,1,0,2
Simba,401,0,3,1,3,1,0,2
Simba,401,30,3,1,2,1,0,2
Simba,401,60,3,1,1,1,0,2
Simba,301,0,3,1,2,2,0,2
Simba,301,30,3,1,2,2,0,2
Simba,301,60,2,1,2,2,0,2
Simba,302,0,3,1,3,2,0,2
Simba,302,30,1,1,3,2,0,0
Simba,302,60,1,1,2,2,0,2
Simba,303,0,3,1,3,4,0,2
Simba,303,30,2,1,3,3,0,2
Simba,303,60,1,1,2,3,0,2
Simba,304,0,5,4,4,5,0,2
Simba,304,30,4,2,2,3,0,2
Simba,304,60,4,2,2,3,0,2
Simba,305,0,2,2,3,2,0,2
Simba,305,30,1,1,3,2,0,1
Simba,305,60,1,1,2,2,0,2
Simba,306,0,3,1,5,4,0,2
Simba,306,30,3,1,4,4,0,2
Simba,306,60,2,1,4,4,0,2
Simba,307,0,5,1,4,3,0,2
Simba,307,30,5,1,3,1,0,2
Simba,307,60,4,1,2,2,0,2
Simba,308,0,4,1,3,3,0,2
Simba,308,30,3,1,3,3,0,2
Simba,308,60,3,1,3,3,0,2
Simba,309,0,2,1,3,3,0,2
Simba,309,30,1,1,3,2,0,2
Simba,309,60,1,1,3,2,0,2
Simba,310,0,4,3,5,3,0,2
Simba,310,30,3,3,4,3,0,2
Simba,310,60,3,3,4,3,0,2
Simba,311,0,,,,,,
Simba,311,30,,,,,,
Simba,311,60,,,,,,
Gunner,110,0,1,1,1,1,0,0
